"String","Ref. Ten. (lbs)","Swing Speed","Material","Gauge Nominal (mm)","Gauge Acutal (mm)","Stretch at 40 lbs (%)","Stretch at 51 lbs (%)","Stretch at 62 lbs (%)","Actual Pre-impact Tension (lbs)","Dwell Time (ms)","Deflection (mm)","Tension Change (lbs)","Peak Tension (lbs)","Peak Perp. Force (lbs)","Ave Perp. Force (lbs)","Stiffness (lb/in)","Static Loss lbs.","Stabilization Loss (lbs)","Impact Loss (lbs).","Total Loss (lbs)","Tension Loss (%)","Energy Return (%)","String/String COF","String/Ball COF","Spin Potential"
"LaserFibre 1200 16 (1.30)","51","Fast","Nylon","1.3","","0.0","0.0","0.0","41.54","35.3","32.9","36.6","78.1","32.1","16.1","137.7","3.24","5.94","0.17","9.3","18.4","91.8","0.106","0.603","5.7"
"Luxilon 4G 16 (1.30)","40","Slow","Polyester","1.3","NA","1.2","1.8","2.4","20.90","42.6","20.7","31.3","52.0","13.5","6.7","296.0","5.51","13.28","0.04","18.7","47.4","93.5","NA","NA","NA"
"Luxilon 4G 16 (1.30)","40","Medium","Polyester","1.3","NA","1.2","1.8","2.4","21.28","37.2","27.7","50.5","71.9","24.9","11.4","267.5","5.51","12.90","0.31","18.7","47.2","88.4","NA","NA","NA"
"Luxilon 4G 16 (1.30)","40","Fast","Polyester","1.3","NA","1.2","1.8","2.4","21.26","34.4","32.0","64.6","86.0","34.4","15.7","256.0","5.51","12.92","0.40","18.7","47.4","86.3","NA","NA","NA"
"Luxilon 4G 16 (1.30)","51","Slow","Polyester","1.3","NA","1.2","1.8","2.4","38.87","37.2","17.8","26.0","64.8","14.4","7.7","334.3","3.97","7.88","-0.16","11.7","23","97.2","NA","NA","NA"
"Luxilon 4G 16 (1.30)","51","Medium","Polyester","1.3","NA","1.2","1.8","2.4","39.16","33.3","24.1","45.4","84.5","25.4","13.0","317.2","3.97","7.59","0.13","11.7","23","92.7","NA","NA","NA"
"Luxilon 4G 16 (1.30)","51","Fast","Polyester","1.3","NA","1.2","1.8","2.4","39.14","31.2","29.0","59.3","98.6","35.7","17.3","286.9","3.97","7.61","0.33","11.9","23.5","90.1","NA","NA","NA"
"Luxilon 4G 16 (1.30)","62","Slow","Polyester","1.3","NA","1.2","1.8","2.4","52.15","34.3","16.0","22.3","74.5","14.9","8.5","354.3","3.09","6.50","-0.11","9.5","15.4","95.6","NA","NA","NA"
"Luxilon 4G 16 (1.30)","62","Medium","Polyester","1.3","NA","1.2","1.8","2.4","52.28","31.1","22.9","41.9","94.2","27.0","14.1","324.6","3.09","6.37","0.07","9.5","15.4","95.6","NA","NA","NA"
"Luxilon 4G 16 (1.30)","62","Fast","Polyester","1.3","NA","1.2","1.8","2.4","52.21","29.6","27.1","55.3","107.6","36.5","18.9","305.8","3.09","6.44","0.35","9.9","16","92.4","NA","NA","NA"
"Luxilon 4G 16L (1.25)","40","Slow","Polyester","1.25","NA","1.5","2.4","3.0","24.37","41.7","20.0","29.3","53.8","13.4","7.0","298.3","5.07","10.25","0.05","15.4","38.7","96.2","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","40","Medium","Polyester","1.25","NA","1.5","2.4","3.0","24.50","37.0","27.0","45.9","70.3","23.8","11.6","254.9","5.07","10.12","0.24","15.4","38.9","91.8","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","40","Fast","Polyester","1.25","NA","1.5","2.4","3.0","24.45","33.7","32.0","59.1","83.6","33.4","13.7","234.9","5.07","10.17","0.37","15.7","39.3","93.9","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","51","Slow","Polyester","1.25","NA","1.5","2.4","3.0","39.91","37.2","17.9","23.8","63.7","14.3","8.0","299.5","3.55","7.26","-0.15","10.6","21","96.0","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","51","Medium","Polyester","1.25","NA","1.5","2.4","3.0","40.22","33.6","24.0","41.5","81.8","24.5","12.9","292.0","3.55","6.95","0.11","10.6","20.9","94.1","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","51","Fast","Polyester","1.25","NA","1.5","2.4","3.0","40.20","31.8","29.0","53.6","93.7","34.0","17.1","258.9","3.55","6.97","0.29","10.8","21.3","90.8","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","62","Slow","Polyester","1.25","NA","1.5","2.4","3.0","51.31","34.5","16.0","21.2","72.5","14.5","8.5","335.5","2.62","7.81","-0.20","10.1","16.6","99.8","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","62","Medium","Polyester","1.25","NA","1.5","2.4","3.0","51.44","31.7","22.9","38.4","89.7","25.6","13.8","298.3","2.62","7.68","0.04","10.4","16.8","96.2","0.095","0.366","3.9"
"Luxilon 4G 16L (1.25)","62","Fast","Polyester","1.25","NA","1.5","2.4","3.0","51.38","30.2","27.3","50.1","101.4","34.5","18.1","273.2","2.62","7.74","0.36","10.8","17.4","92.4","0.095","0.366","3.9"
"Luxilon 4G Rough 16L","40","Slow","Polyester","1.25","NA","1.8","3.3","3.9","15.02","48.8","24.0","30.0","45.0","13.5","6.0","210.3","7.39","17.28","0.49","25.1","63.4","90.6","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","40","Medium","Polyester","1.25","NA","1.8","3.3","3.9","15.55","41.7","31.1","47.0","62.6","24.3","10.5","197.7","7.39","16.75","1.83","26.0","65.4","85.6","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","40","Fast","Polyester","1.25","NA","1.8","3.3","3.9","15.59","38.5","36.0","59.1","74.7","33.6","14.3","185.2","7.39","16.71","2.82","26.9","67.8","81.4","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","51","Slow","Polyester","1.25","NA","1.8","3.3","3.9","35.06","41.2","20.0","24.0","59.1","14.8","7.2","242.9","5.34","10.32","0.11","15.7","31.1","98.0","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","51","Medium","Polyester","1.25","NA","1.8","3.3","3.9","35.13","36.2","27.0","42.3","77.4","26.1","12.5","235.5","5.34","10.25","0.36","15.9","31.4","93.3","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","51","Fast","Polyester","1.25","NA","1.8","3.3","3.9","35.06","33.9","32.0","54.5","89.5","35.8","17.9","216.0","5.34","10.32","0.99","16.8","32.8","89.7","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","62","Slow","Polyester","1.25","NA","1.8","3.3","3.9","47.89","37.8","18.0","21.2","69.0","15.6","7.8","263.5","4.04","9.81","-0.09","13.7","22.3","97.0","0.094","0.399","4.2"
"Luxilon 4G Rough 16L","62","Medium","Polyester","1.25","NA","1.8","3.3","3.9","48.22","33.8","25.0","38.8","87.1","27.2","13.6","252.0","4.04","9.48","0.59","14.1","22.9","95.6","0.094","0.399","4.2"
